id,province,population,x_coord,y_coord,latitude,longitude,Ontrelevant,name
11001,1,8249,150964.3953,202431664,51.1340539,4.3844742,NVT,AARTSELAAR
11002,1,269954,153104586,212271.7101,51.2165845,4.413545489,NVT,ANTWERPEN
11004,1,7334,159954505,206256.5035,51.16082405,4.51038522,NVT,BOECHOUT
11005,1,8959,150360.4,198115.3972,51.08608,4.36633,NVT,BOOM
11007,1,6643,158373.2671,209240.2514,51.1966684,4.4856299,NVT,BORSBEEK
11008,1,23237,158918.8198,221748.3274,51.29227,4.49419,NVT,BRASSCHAAT
11009,1,16227,168070.1501,224780.0715,51.3495775,4.6376322,NVT,BRECHT
11013,1,13325,154685668,205393.0247,51.1559541,4.4318937,NVT,EDEGEM
11016,1,10454,156460.2596,237847.8004,51.38298,4.47518,NVT,ESSEN
11018,1,5667,148198.7693,203536.6236,51.14518,4.33834,NVT,HEMIKSEM
11021,1,5039,157610.1233,204366.2944,51.1540043,4.4711513,NVT,HOVE
11022,1,10759,157904.4706,231315.7962,51.38298,4.47518,NVT,KALMTHOUT
11023,1,15777,154487.6576,224119.3344,51.3140004,4.4324004,NVT,KAPELLEN
11024,1,12423,155592.4248,201594.3934,51.13003557,4.446677086,NVT,KONTICH
11025,1,4960,159097.0056,201935.0167,51.1272719,4.4967604,NVT,LINT
11029,1,14577,156009.7924,207196.8119,51.1691158,4.4662486,NVT,MORTSEL
11030,1,5087,147481.69,199869.6343,51.11064,4.33207,NVT,NIEL
11035,1,11171,165219.2251,208999.2957,51.18871104,4.590226091,NVT,RANST
11037,1,9052,153073.82,198210.0178,51.09011363,4.413470809,NVT,RUMST
11038,1,4773,148445.1767,201304.4167,51.1269186,4.3388412,NVT,SCHELLE
11039,1,12017,164830.4963,215797.5538,51.24813013,4.5759354,NVT,SCHILDE
11040,1,19947,159116704,216452.0397,51.2497532,4.4977063,NVT,SCHOTEN
11044,1,11765,151340.9932,224221.2468,51.32297544,4.385293794,NVT,STABROEK
11050,1,5156,160418.2738,213067.75,51.2298182,4.5108974,NVT,WIJNEGEM
11052,1,7369,160133.6758,210635344,51.2021676,4.5219648,NVT,WOMMELGEM
11053,1,11243,165472.5533,230754.3459,51.39187316,4.604601269,NVT,WUUSTWEZEL
11054,1,7792,171240.3565,210798.5877,51.20613498,4.672960635,NVT,ZANDHOVEN
11055,1,13016,170230605,216710.9127,51.25517428,4.660247,NVT,ZOERSEL
11056,1,11174,147413.7266,211497.3782,51.21119913,4.336818023,NVT,ZWIJNDRECHT
11057,1,9042,173766.1621,220855.2471,51.2989753,4.71400875,NVT,MALLE-WESTMALLE
12002,1,6359,170183.2138,199770.3863,51.11804,4.65752,NVT,BERLAAR
12005,1,8613,163812.0405,190191099,51.02219655,4.54803189,NVT,BONHEIDEN
12007,1,12623,140919.5331,197684459,51.09600683,4.239100366,NVT,BORNEM
12009,1,10054,159562.4174,198297.2005,51.09539,4.5052,NVT,DUFFEL
12014,1,24071,175485.7517,195142.9102,51.07516584,4.729764782,NVT,HEIST-OP-DEN-BERG
12021,1,20007,164122.0306,202178.8697,51.13021636,4.571505109,NVT,LIER
12025,1,45736,157133.0047,190719.1868,51.02534575,4.474594428,NVT,MECHELEN
12026,1,13168,170161.9138,204679688,51.16135909,4.67056163,NVT,NIJLEN
12029,1,9761,168321.4218,193384.0405,51.0547257,4.6286791,NVT,PUTTE-O. L. V. WAVER-RIJMENAM
12030,1,9854,145766.0493,195576.4414,51.0660143,4.318386571,NVT,PUURS
12034,1,4652,140363.0672,193587.9406,51.0559173,4.2216529,NVT,SINT-AMANDS
12035,1,11676,160949.1434,194566.7006,51.06805205,4.544615732,NVT,SINT-KATELIJNE-WAVER
12040,1,13749,149512.5182,193678.2932,51.05490934,4.354493562,NVT,WILLEBROEK-BREENDONK-RUISBROEK
13001,1,7638,200265.8207,223593.3271,51.322049,5.0863348,NVT,ARENDONK
13002,1,1379,188246.1276,235450.8189,51.441832,4.931736,NVT,BAARLE-HERTOG
13003,1,12647,206348.9383,206025.9606,51.16430765,5.163146326,NVT,BALEN
13004,1,10376,181984558,222925.8025,51.31501988,4.84026508,NVT,BEERSE
13006,1,5509,202306.1731,214920.8946,51.23985,5.11269,NVT,DESSEL
13008,1,22137,192976.3975,204923.6606,51.14142089,4.914067413,NVT,GEEL
13010,1,6836,176066.1452,207526.1724,51.18432083,4.739567486,NVT,GROBBENDONK
13011,1,16383,182261.4082,206326053,51.16433198,4.83547917,NVT,HERENTALS
13012,1,5472,178069.8883,203598.8117,51.1394506,4.7564892,NVT,HERENTHOUT
13013,1,8708,185479.8612,193018.3765,51.05236832,4.880688,NVT,HERSELT
13014,1,11572,177723.8501,236286.3715,51.41677366,4.770538849,NVT,HOOGSTRATEN
13016,1,5703,181190.1955,194518243,51.07468686,4.79178604,NVT,HULSHOUT
13017,1,11362,190260.7943,214726.5823,51.23368463,4.937155015,NVT,KASTERLEE
13019,1,9748,182261.79,215623.5959,51.26021242,4.837267762,NVT,LILLE
13021,1,5976,199576.9606,202102.6031,51.13219,5.07708,NVT,MEERHOUT
13023,1,5241,184075.0344,228333.2413,51.34806,4.76054,NVT,MERKSPLAS
13025,1,20475,202717.0163,210208.4506,51.191087,5.1170647,NVT,MOL
13029,1,7325,186180606,206167.0615,51.1440245,4.8599119,NVT,OLEN
13031,1,8162,193450.0113,223717.7889,51.3177601,4.982845,NVT,OUD-TURNHOUT
13035,1,8313,195016.6896,234093.0551,51.41039727,5.010683417,NVT,RAVELS
13036,1,6468,199608.0271,218127.6771,51.2669664,5.0842508,NVT,RETIE
13037,1,6723,177557.5847,226352.5942,51.34806,4.76054,NVT,RIJKEVORSEL
13040,1,25103,189799.2667,223877.5252,51.3216509,4.9375577,NVT,TURNHOUT
13044,1,4757,178723.9544,211248755,51.2025247,4.7708827,NVT,VORSELAAR
13046,1,6451,186101.4929,222199.4307,51.31473,4.88768,NVT,VOSSELAAR
13049,1,14745,186551214,200122.9018,51.08995144,4.9143397,NVT,WESTERLO
13053,1,9656,195290.9681,197269.3886,51.08278549,5.026670478,NVT,LAAKDAL-VEERLE
21001,2,53489,145296.4584,169229.9655,50.83348931,4.297707164,NVT,ANDERLECHT
21002,2,17461,153938873,167298.9312,50.8164064,4.4265181,NVT,AUDERGHEM/OUDERGEM
21003,2,11420,144767.4344,172733.7611,50.8657821,4.2925975,NVT,BERCHEM-SAINTE-AGATHE/SINT-AGATHA-BERCHEM
21004,2,86458,149789.4784,172284.1909,50.86079391,4.35941953,NVT,BRUSSEL/BRUXELLES-BRUSSEL PENTAGOON/BRUXELLES PENTAGONE
21005,2,26526,151818.7579,169198.7705,50.832578,4.3889939,NVT,ETTERBEEK
21006,2,18919,152764.7262,173265189,50.8739353,4.4009421,NVT,EVERE
21007,2,29006,147075.3821,167075.6885,50.8134333,4.3248344,NVT,FOREST/VORST
21008,2,11413,146022.2206,173771.5681,50.8729866,4.3093326,NVT,GANSHOREN
21009,2,52404,150462.2998,168070.6376,50.8270563,4.372308,NVT,ELSENE/IXELLES
21010,2,24167,146926.4418,174493.2741,50.8808582,4.3227894,NVT,JETTE
21011,2,10066,146813.5613,172465885,50.8633811,4.330338,NVT,KOEKELBERG
21012,2,43668,146730122,171664.5848,50.8522009,4.3303277,NVT,MOLENBEEK-SAINT-JEAN/SINT-JANS-MOLENBEEK
21013,2,28849,148263.6708,168825.4131,50.8301436,4.3402184,NVT,SAINT-GILLES/SINT-GILLIS
21014,2,14010,149924.4757,171548.3329,50.8499766,4.3692349,NVT,SAINT-JOSSE-TEN-NODE/SINT-JOOST-TEN-NODE
21015,2,67992,151137.8935,172542.4363,50.86744,4.37727,NVT,SCHAARBEEK/SCHAERBEEK
21016,2,45147,148591.9161,165069.0843,50.8023982,4.34067,NVT,UCCLE/UKKEL
21017,2,14731,152963263,165745.7697,50.8068657,4.4053286,NVT,WATERMAAL-BOSVOORDE/WATERMAEL-BOITSFORT
21018,2,28684,154363.6026,170698.9441,50.8415257,4.4337046,NVT,SINT-LAMBRECHTS-WOLUWE/WOLUWE-SAINT-LAMBERT
21019,2,22587,154935814,169117.6783,50.8369585,4.4080961,NVT,SINT-PIETERS-WOLUWE/WOLUWE-SAINT-PIERRE
23002,2,17711,140356.0088,176973158,50.90171605,4.238901449,NVT,ASSE
23003,2,14054,145039.1085,160276.5563,50.75306381,4.300754882,NVT,BEERSEL
23009,2,1213,118403.4575,156517.5525,50.7169522,3.9406874,NVT,BEVER
23016,2,23235,140802.3773,171379.3042,50.85259396,4.237046102,NVT,DILBEEK
23023,2,4914,123038.6036,160306.6541,50.75183197,3.9955352,NVT,GALMAARDEN
23024,2,5619,130953205,163457295,50.77901559,4.0847716,NVT,GOOIK
23025,2,20617,150251.6867,180545628,50.93380887,4.369456033,NVT,GRIMBERGEN
23027,2,20956,140752.6433,157804.6208,50.73481354,4.23414754,NVT,HALLE
23032,2,3911,126580.4054,156251.4396,50.72301673,4.0274331,NVT,HERNE
23033,2,6052,157077442,161709876,50.7674863,4.4740458,NVT,HOEILAART
23038,2,6773,163571.8052,180903.3448,50.93468264,4.555739426,NVT,KAMPENHOUT
23039,2,5644,149185.0495,188802.2205,50.98933774,4.417373468,NVT,KAPELLE-OP-DEN-BOS
23044,2,7630,130692.8344,173158.74,50.8475374,4.139768,NVT,LIEDEKERKE
23045,2,10842,144195.8517,188873.7265,51.00742517,4.277043235,NVT,LONDERZEEL
23047,2,7274,155114868,177174.3859,50.90499445,4.435529186,NVT,MACHELEN
23050,2,11693,146543.3982,182463.7791,50.93535235,4.282593824,NVT,MEISE
23052,2,9048,141580.5438,181867.4062,50.94220238,4.249104286,NVT,MERCHTEM
23060,2,7433,136783.7412,183571.5622,50.9658282,4.18376046,NVT,OPWIJK
23062,2,14796,161083.2404,162365.3057,50.77381,4.53475,NVT,OVERIJSE
23064,2,2587,135002343,159619.0213,50.75235297,4.166724773,NVT,PEPINGEN
23077,2,18460,141906.6213,164479.8639,50.7853861,4.246851574,NVT,SINT-PIETERS-LEEUW
23081,2,6689,159248.0467,178703.1505,50.91595771,4.499583667,NVT,STEENOKKERZEEL
23086,2,9212,135277.5566,173304.8811,50.86741573,4.166683636,NVT,TERNAT
23088,2,21246,153855.7012,179476.1715,50.92725277,4.425783553,NVT,VILVOORDE
23094,2,16964,157767.9192,173486461,50.87479188,4.470324113,NVT,ZAVENTEM
23096,2,13159,157132.3437,185485.2994,50.9770503,4.472901466,NVT,ZEMST
23097,2,6646,131002.5307,169785.1264,50.81554396,4.154597205,NVT,ROOSDAAL
23098,2,2808,146009.9683,164477.9233,50.7875382,4.3164506,NVT,DROGENBOS
23099,2,7645,157085.3319,170864115,50.8610856,4.4592974,NVT,KRAAINEM
23100,2,2804,148017.1414,162168.6743,50.7660264,4.3456087,NVT,LINKEBEEK
23101,2,10755,149580.1764,159062.0514,50.74594,4.35753,NVT,SINT-GENESIUS-RODE
23102,2,8564,145840.8949,177385.2116,50.91032,4.3009225,NVT,WEMMEL
23103,2,7995,158716.9113,170383.6363,50.8508976,4.4874562,NVT,WEZEMBEEK-OPPEM
23104,2,5519,135515.5693,166995.23,50.82708851,4.1219471,NVT,LENNIK-ST-KWINTENS
23105,2,7634,132026.1941,177041.0041,50.90204472,4.114406241,NVT,AFFLIGEM-HEKELGEM
24001,2,17636,184082.9978,186680.6595,51.00432801,4.825603145,NVT,AARSCHOT
24007,2,5849,179872.1345,188797.4836,50.99831662,4.789849682,NVT,BEGIJNENDIJK
24008,2,3559,193342.6431,180485.0815,50.94112737,4.979921885,NVT,BEKKEVOORT
24009,2,5496,166967.8329,171521.7065,50.85941086,4.622253418,NVT,BERTEM
24011,2,5614,178192.4096,169937.8169,50.83949594,4.760039565,NVT,BIERBEEK
24014,2,7126,163024.9963,185629.6141,50.9897419,4.554328387,NVT,BOORTMEERBEEK
24016,2,4560,183436.1562,169571333,50.83878597,4.850233909,NVT,BOUTERSEM
24020,2,14381,198544.6002,187426.9752,50.99717461,5.058459148,NVT,DIEST
24028,2,3660,203151.4507,176008206,50.890297,5.12923178,NVT,GEETBETS
24033,2,8260,169242.3945,183468.7261,50.96298629,4.6562471,NVT,HAACHT
24038,2,11902,170009.2288,177380.4798,50.90503559,4.654275825,NVT,HERENT
24041,2,3667,186098.0597,163560.9313,50.80003667,4.932410667,NVT,HOEGAARDEN
24043,2,5531,179138.5072,179477.5894,50.92695073,4.776201239,NVT,HOLSBEEK
24045,2,5461,167256.7982,163970.9214,50.78866454,4.615618464,NVT,HULDENBERG
24048,2,7818,169870.4756,188393.5039,51.0057936,4.6320416,NVT,KEERBERGEN
24054,2,4631,195906.2882,175295.8595,50.87504806,4.994612821,NVT,KORTENAKEN
24055,2,11061,163674.3631,175501.9236,50.89098028,4.5618213,NVT,KORTENBERG
24059,2,8979,199053162,160852.8384,50.75243469,5.06881637,NVT,LANDEN
24062,2,57258,173931.7171,174757824,50.86698143,4.711928375,NVT,LEUVEN
24066,2,8714,181320.4682,175143.8645,50.88452549,4.810671636,NVT,LUBBEEK
24086,2,6790,172601.0925,168331978,50.82680259,4.682177885,NVT,OUD-HEVERLEE
24094,2,9212,175902.71,182839.1852,50.95683195,4.723360374,NVT,ROTSELAAR
24104,2,12362,161697.3643,168589.7953,50.82823281,4.520506268,NVT,TERVUREN
24107,2,19741,190387.0078,166923.2709,50.80773835,4.938814072,NVT,TIENEN
24109,2,8658,175155.6557,187594.4357,50.98919841,4.731576236,NVT,TREMELO
24130,2,4954,201510312,170093.3967,50.83131316,5.112465973,NVT,ZOUTLEEUW
24133,2,4394,197428.9962,167756.3838,50.81813716,5.046270976,NVT,LINTER
24134,2,13897,192046.2139,187661.8917,51.0012637,4.972454739,NVT,SCHERPENHEUVEL-ZICHEM
24135,2,6293,187024848,179107.8295,50.92344524,4.891600514,NVT,TIELT-WINGE-TIELT
24137,2,3125,190909.6423,173167969,50.86748271,4.94080562,NVT,GLABBEEK
31003,3,9167,77952.10905,204815.1948,51.15205199,3.345590219,NVT,BEERNEM
31004,3,10808,63960.63941,222799.3929,51.30757026,3.138132235,NVT,BLANKENBERGE
31005,3,72487,69778.44607,212973689,51.21760152,3.220079748,NVT,BRUGGE
31006,3,6766,77161.55727,215653.1586,51.23866572,3.317332918,NVT,DAMME
31012,3,8657,61646.93,209043.4269,51.18181566,3.107322288,NVT,JABBEKE
31022,3,13524,70505.99688,202724.7775,51.13141773,3.228975294,NVT,OOSTKAMP
31033,3,11847,60862.58531,196301.6972,51.06759099,3.09304265,NVT,TORHOUT
31040,3,13958,64392.95071,203055.4239,51.13579014,3.146939429,NVT,ZEDELGEM
